"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x270839361","x1536109042107568128",2022-06-12 22:11:49,"matteosalvinimi","Grazie ai 10 milioni di italiani che hanno scelto di votare per cambiare la Giustizia. È nostro dovere continuare a far sentire la loro voce!","Twitter for iPhone",141,,,,FALSE,FALSE,1461,164,,,,,,,,,,,,,,,,,,"it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/matteosalvinimi/status/1536109042107568128","Matteo Salvini","","Leader della Lega #primagliitaliani 🇮🇹","https://t.co/sj3rr6DU3N",FALSE,1476201,2008,3139,53108,3825,2011-03-23 10:32:56,TRUE,"https://t.co/sj3rr6DU3N","https://legaonline.it/",,"https://pbs.twimg.com/profile_banners/270839361/1641590097","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/966325945060732928/0Ua5xPMX_normal.jpg"
"x48062712","x1536187833618243584",2022-06-13 03:24:55,"luigidimaio","Il Ministro degli Esteri @luigidimaio è in missione in Etiopia 🇪🇹 e Kenya 🇰🇪

***
Mission of Foreign Minister Luigi Di Maio to Ethiopia 🇪🇹 and Kenya 🇰🇪 https://t.co/m6KaEv4xw6","Twitter for iPhone",140,,,,FALSE,TRUE,0,23,,,,,,,,,,,,,,,,"x599114492 x48062712","ItalyMFA luigidimaio","it",,,,,,,,,,,,,,,,"x1535989018831224832","Il Ministro degli Esteri @luigidimaio è in missione in Etiopia 🇪🇹 e Kenya 🇰🇪

***
Mission of Foreign Minister Luigi Di Maio to Ethiopia 🇪🇹 and Kenya 🇰🇪 https://t.co/m6KaEv4xw6",2022-06-12 14:14:54,"Twitter Web App",66,23,"x599114492","ItalyMFA","Farnesina 🇮🇹",274304,955,16339,"Roma, Italia","Profilo ufficiale del Ministero degli Affari Esteri e della Cooperazione Internazionale | Follow us in other languages at @ItalyMFA_int",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/luigidimaio/status/1536187833618243584","Luigi Di Maio","Pomigliano d'Arco, Campania","Ministro degli Affari Esteri e della Cooperazione Internazionale.","https://t.co/D8gkagqksG",FALSE,770171,339,2230,7125,399,2009-06-17 18:34:46,TRUE,"https://t.co/D8gkagqksG","http://www.luigidimaio.it",,"https://pbs.twimg.com/profile_banners/48062712/1645985183","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/933106806670462976/YyC7LOW8_normal.jpg"
"x997531966571466752","x1535963382087548928",2022-06-12 12:33:01,"Pres_Casellati","Votare è la forma più alta di partecipazione alla causa pubblica, un diritto e un dovere di ogni cittadino🇮🇹. 
#Amministrative
#Referendum
#Voto https://t.co/0dTulkbcZ0","Twitter for iPhone",144,,,,FALSE,FALSE,527,120,,,"Amministrative Referendum Voto",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1535963304597782530/pu/img/AIpsp1kWAzBJ-1AK.jpg","https://t.co/0dTulkbcZ0","https://twitter.com/Pres_Casellati/status/1535963382087548928/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1535963304597782530/pu/img/AIpsp1kWAzBJ-1AK.jpg","https://t.co/0dTulkbcZ0","https://twitter.com/Pres_Casellati/status/1535963382087548928/video/1",,,,"it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Pres_Casellati/status/1535963382087548928","Maria Elisabetta Alberti Casellati","Roma, Lazio","Presidente del Senato della Repubblica","https://t.co/4xFh9XyLXO",FALSE,15855,590,114,1285,62,2018-05-18 17:38:48,TRUE,"https://t.co/4xFh9XyLXO","https://www.facebook.com/elisabetta.casellati.7",,"https://pbs.twimg.com/profile_banners/997531966571466752/1526665561","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/997533290520195072/YmnjBO3X_normal.jpg"
"x101602652","x1536008523636678658",2022-06-12 15:32:24,"augussori","🔵ELEZIONI COMUNALI LODI 2022: CI SIAMO! 
🗓SI VOTA SOLO OGGI, DOMENICA 12 GIUGNO
⏰dalle 7.00 alle 23.00
✖️Vota LEGA
✏️Scrivi AUGUSSORI

#VotaLEGA #ScriviAUGUSSORI #UnGrandeProgettoDiCittá #Lega #Lodi2022 #CasanovaSindaco 
#ReferendumGiustizia https://t.co/d3H9SROFD5","Twitter for iPhone",241,,,,FALSE,FALSE,2,0,,,"VotaLEGA ScriviAUGUSSORI UnGrandeProgettoDiCittá Lega Lodi2022 CasanovaSindaco ReferendumGiustizia",,,,,"http://pbs.twimg.com/media/FVD_m7HWUAM-UH0.jpg","https://t.co/d3H9SROFD5","https://twitter.com/augussori/status/1536008523636678658/photo/1","photo","http://pbs.twimg.com/media/FVD_m7HWUAM-UH0.jpg","https://t.co/d3H9SROFD5","https://twitter.com/augussori/status/1536008523636678658/photo/1",,,,"it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/augussori/status/1536008523636678658","Luigi Augussori","Lodi, Lombardy","Profilo del sen. Luigi Augussori, rappresentante lodigiano nel Senato della Repubblica per il gruppo Lega - Salvini Premier. https://t.co/RVDZN85Ue5","https://t.co/494Lk5LQeR",FALSE,1008,849,18,3607,335,2010-01-03 23:39:00,TRUE,"https://t.co/494Lk5LQeR","http://www.senato.it/leg/18/BGT/Schede/Attsen/00019244.htm",,"https://pbs.twimg.com/profile_banners/101602652/1651901040","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1522809403216470016/YjJcca8y_normal.jpg"
"x876541483","x1536285295355772929",2022-06-13 09:52:11,"AlbertoBagnai","È fuga dalle urne anche per le #amministrative2022. Il dato preoccupante dell'#affluenza #noquorum #referendumgiustizia #13giugno  https://t.co/aiKbGURllC https://t.co/hcUkt2MNKj","Twitter for iPhone",140,,,,FALSE,TRUE,0,7,,,"amministrative2022 affluenza noquorum referendumgiustizia",,,,,,,,,,,,,"x78567974","tempoweb","it",,,,,,,,,,,,,,,,"x1536285120017072129","È fuga dalle urne anche per le #amministrative2022. Il dato preoccupante dell'#affluenza #noquorum #referendumgiustizia #13giugno  https://t.co/aiKbGURllC https://t.co/hcUkt2MNKj",2022-06-13 09:51:30,"Il Tempo",11,7,"x78567974","tempoweb","IL TEMPO",93762,1399,100091,"Rome","Segui Il Tempo Quotidiano Indipendente📰 
Ultim'ora, notizie e video in un tweet",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536285295355772929","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
"x876541483","x1536243244480315393",2022-06-13 07:05:06,"AlbertoBagnai","Compito a casa per TUTTI quelli della mia community.
ISCRIVETEVI ALLE LISTE DEGLI SCRUTATORI.","Twitter for iPhone",113,,,,FALSE,TRUE,0,68,,,,,,,,,,,,,,,,"x337767301","borghi_claudio","it",,,,,,,,,,,,,,,,"x1536116404818268160","Compito a casa per TUTTI quelli della mia community.
ISCRIVETEVI ALLE LISTE DEGLI SCRUTATORI.",2022-06-12 22:41:05,"Twitter Web App",331,68,"x337767301","borghi_claudio","Claudio Borghi A.",137782,1355,227787,"Italia","Deputato della Repubblica Italiana eletto in Toscana per la Lega. Consigliere Comunale di Como",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536243244480315393","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
"x876541483","x1536243038342848512",2022-06-13 07:04:17,"AlbertoBagnai","@giuno55 Accidenti che mossa intelligente. Sono basito per l'ammirazione.","Twitter for iPhone",89,,,,FALSE,TRUE,0,16,,,,,,,,,,,,,,,,"x744167896985767936 x514161086","calibano12 giuno55","it",,,,,,,,,,,,,,,,"x1536061692731346950","@giuno55 Accidenti che mossa intelligente. Sono basito per l'ammirazione.",2022-06-12 19:03:40,"Twitter Web App",120,16,"x744167896985767936","calibano12","calibano12",207,279,22687,"","(...) Un unico stato mondiale, lungi dall'essere il prerequisito della cittadinanza mondiale, potrebbe segnare la fine di qualunque cittadinanza (H. Arendt).",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536243038342848512","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
"x876541483","x1536239758241824768",2022-06-13 06:51:14,"AlbertoBagnai","Sul FQ una considerazione non nuovissima (era già vecchia quando la feci qui: https://t.co/pXoNKN0j1B) ma resa attuale dalle nostre élite inadeguate e dal loro panegirico di un sistema infartuato: la globalizzazione. https://t.co/O4L6S6h5M8","Twitter for iPhone",216,,,,FALSE,FALSE,63,26,,,,,"m.francoangeli.it/Libro/97888568…","https://t.co/pXoNKN0j1B","https://m.francoangeli.it/Libro/9788856817379/La-crescita-della-Cina.-Scenari-e-implicazioni-per-gli-altri-poli-dell%27economia-globale?id=15332","http://pbs.twimg.com/media/FVHR6sGWYAAkewY.jpg","https://t.co/O4L6S6h5M8","https://twitter.com/AlbertoBagnai/status/1536239758241824768/photo/1","photo","http://pbs.twimg.com/media/FVHR6sGWYAAkewY.jpg","https://t.co/O4L6S6h5M8","https://twitter.com/AlbertoBagnai/status/1536239758241824768/photo/1",,,,"it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536239758241824768","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
"x876541483","x1536221677608226818",2022-06-13 05:39:24,"AlbertoBagnai","@obbadalei Io aspetto il voto di lista. Sono i dettagli che procurano piacere.","Twitter for iPhone",67,"x1536219645014855683","x1471951610280656899","obbadalei",FALSE,FALSE,47,1,,,,,,,,,,,,,,,,"x1471951610280656899","obbadalei","it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536221677608226818","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
"x876541483","x1536219911336476672",2022-06-13 05:32:23,"AlbertoBagnai","@Lorenz4Lorenzi Ai Parioli la situazione era sorprendentemente diversa.","Twitter for iPhone",55,"x1536218859740487683","x1428736895618531336","Lorenz4Lorenzi",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x1428736895618531336","Lorenz4Lorenzi","it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AlbertoBagnai/status/1536219911336476672","Alberto Bagnai","","Professore associato di politica economica all’Università Gabriele d’Annunzio, eletto al Senato per la Lega nel collegio Abruzzo 01.","https://t.co/sC5RvUzmsX",FALSE,134660,666,655,226232,6503,2012-10-12 22:13:36,TRUE,"https://t.co/sC5RvUzmsX","http://www.senato.it/leg/18/BGT/Schede/Attsen/00032582.htm",,"https://pbs.twimg.com/profile_banners/876541483/1535647109","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/849030859462246401/ATk3_aiW_normal.jpg"
