Twitter,Nome,Partito,Tipo
ClaudioDurigon,DURIGON Claudio,Lega,Camera
,FANTUZ Marica,Lega,Camera
M_Fedriga,FEDRIGA Massimiliano,Lega,Camera
,FERRARI Roberto Paolo,Lega,Camera
,FOGLIANI Ketty,Lega,Camera
Fontana3Lorenzo,FONTANA Lorenzo,Lega,Camera
,FORMENTINI Paolo,Lega,Camera
sarafoscolo,FOSCOLO Sara,Lega,Camera
rebeccafrassini,FRASSINI Rebecca,Lega,Camera
MaurizioFugatti,FUGATTI Maurizio,Lega,Camera
DomenicoFurgiu1,FURGIUELE Domenico,Lega,Camera
,GALLI Dario,Lega,Camera
massimogara,GARAVAGLIA Massimo,Lega,Camera
FlavioGastaldi,GASTALDI Flavio,Lega,Camera
VanniaGava,GAVA Vannia,Lega,Camera
,GERARDI Francesca,Lega,Camera
AndreaGiaccone,GIACCONE Andrea,Lega,Camera
,GIACOMETTI Antonietta,Lega,Camera
,GIGLIO VIGNA Alessandro,Lega,Camera
GGPaginaFan,GIORGETTI Giancarlo,Lega,Camera
,GOBBATO Claudia,Lega,Camera
GullyGolinelli,GOLINELLI Guglielmo,Lega,Camera
GrimoldiPaolo,GRIMOLDI Paolo,Lega,Camera
2197478480,GUIDESI Guido,Lega,Camera
A_Gusmeroli,GUSMEROLI Alberto Luigi,Lega,Camera
igoriezzi,IEZZI Igor Giancarlo,Lega,Camera
cristianinve,INVERNIZZI Cristian,Lega,Camera
latinigiorgia,LATINI Giorgia,Lega,Camera
arilazzarini,LAZZARINI Arianna,Lega,Camera
,LEGNAIOLI Donatella,Lega,Camera
,LIUNI Marzio,Lega,Camera
Alesidcomo,LOCATELLI Alessandra,Lega,Camera
mariololini,LOLINI Mario,Lega,Camera
,LO MONTE Carmelo,CD,Camera
,LORENZONI Eva,Lega,Camera
ElenaLucchini,LUCCHINI Elena,Lega,Camera
Elmac71,MACCANTI Elena,Lega,Camera
marcmaggioni,MAGGIONI Marco,Lega,Camera
Franco_Manzato,MANZATO Franco,Lega,Camera
RiccardoAugust3,MARCHETTI Riccardo Augusto,Lega,Camera
,MATURI Filippo,Lega,Camera
MolinariRik,MOLINARI Riccardo,Lega,Camera
NicolaMolteni,MOLTENI Nicola,Lega,Camera
,MORELLI Alessandro,Lega,Camera
JacopoMorrone,MORRONE Jacopo,Lega,Camera
,MOSCHIONI Daniele,Lega,Camera
MurelliElena,MURELLI Elena,Lega,Camera
alepaganotwit,PAGANO Alessandro,Lega,Camera
MaxiPanizzut,PANIZZUT Massimiliano,Lega,Camera
,PAOLINI Luca Rodolfo,Lega,Camera
UgoParolo,PAROLO Ugo,Lega,Camera
,PATASSINI Tullio,Lega,Camera
cripatelli,PATELLI Cristina,Lega,Camera
,PATERNOSTER Paolo,Lega,Camera
,PETTAZZI Lino,Lega,Camera
CarloPiastra,PIASTRA Carlo,Lega,Camera
guglielmopicchi,PICCHI Guglielmo,Lega,Camera
,POTENTI Manfredi,Lega,Camera
,PRETTO Erik Umberto,Lega,Camera
,RACCHELLA Germano,Lega,Camera
,RAFFAELLI Elena,Lega,Camera
AlbertoRibolla,RIBOLLA Alberto,Lega,Camera
edorixi,RIXI Edoardo,Lega,Camera
BSaltamartini,SALTAMARTINI Barbara,Lega,Camera
roxsasso,SASSO Rossano,Lega,Camera
,Piccolo Tiziana,Lega,Camera
,STEFANI Alberto,Lega,Camera
,TARANTINO Leonardo,Lega,Camera
tateo_annarita,TATEO Anna Rita,Lega,Camera
cmterzi,TERZI Claudia Maria,Lega,Camera
PaoloTiramani,TIRAMANI Paolo,Lega,Camera
mauratomasi,TOMASI Maura,Lega,Camera
,TOMBOLATO Giovanni Battista,Lega,Camera
GianniTonelli,TONELLI Gianni,Lega,Camera
,TURRI Roberto,Lega,Camera
,VALBUSA Vania,Lega,Camera
,VALLOTTO Sergio,Lega,Camera
GianlucaVinci80,VINCI Gianluca,Lega,Camera
,VIVIANI Lorenzo,Lega,Camera
volpi_raffaele,VOLPI Raffaele,Lega,Camera
,ZANOTELLI Giulia,Lega,Camera
,ZICCHIERI Francesco,Lega,Camera
EdoardoZiello1,ZIELLO Edoardo,Lega,Camera
eugenio_zoffili,ZOFFILI Eugenio,Lega,Camera
,ZORDAN Adolfo,Lega,Camera
AvvAngelucci,ANGELUCCI Antonio,Forza Italia,Camera
ApreaValentina,APREA Valentina,Forza Italia,Camera
RobBagnasco,BAGNASCO Roberto,Forza Italia,Camera
simonebaldelli,BALDELLI Simone,Forza Italia,Camera
Raffabaratto,BARATTO Raffaele,Coraggio Italia,Camera
,BARELLI Paolo,Forza Italia,Camera
annalisabaroni,BARONI Anna Lisa,Forza Italia,Camera
giusibartolozzi,BARTOLOZZI Giusi,Forza Italia,Camera
Battilocchio,BATTILOCCHIO Alessandro,Forza Italia,Camera
d_bendinelli,BENDINELLI Davide,Italia Viva,Camera
stefanobenigni,BENIGNI Stefano,Coraggio Italia,Camera
DeborahBergamin,BERGAMINI Deborah,Forza Italia,Camera
BiancofioreMiky,BIANCOFIORE Michaela,Coraggio Italia,Camera
galeazzobignami,BIGNAMI Galeazzo,Forza Italia,Camera
,BOND Dario,Forza Italia,Camera
mvbrambilla,BRAMBILLA Michela Vittoria,Forza Italia,Camera
renatobrunetta,BRUNETTA Renato,Forza Italia,Camera
CalabriaTw,CALABRIA Annagrazia,Forza Italia,Camera
,CANNATELLI Pasquale,Forza Italia,Camera
FrCannizzaro,CANNIZZARO Francesco,Forza Italia,Camera
Roberto__Caon,CAON Roberto,Forza Italia,Camera
ugocappellacci,CAPPELLACCI Ugo,Forza Italia,Camera
mara_carfagna,CARFAGNA Maria Rosaria,Forza Italia,Camera
Mauri_Carrara,CARRARA Maurizio,Forza Italia,Camera
,CASCIELLO Luigi,Forza Italia,Camera
casino_michele,CASINO Michele,Forza Italia,Camera
,CASSINELLI Roberto,Forza Italia,Camera
aleCattaneo79,CATTANEO Alessandro,Forza Italia,Camera
,CORTELAZZO Piergiorgio,Forza Italia,Camera
,COSTA Enrico,Azione-+Europa,Camera
mire_cris,CRISTINA Mirella,Forza Italia,Camera
MauroDattis,D'ATTIS Mauro,Forza Italia,Camera
,DELLA FRERA Guido,Forza Italia,Camera
,D'ETTORE Felice Maurizio,Coraggio Italia,Camera
,FASANO Vincenzo,Forza Italia,Camera
,FASCINA Marta Antonia,Forza Italia,Camera
carlo_fatuzzo,FATUZZO Carlo,Forza Italia,Camera
marferraioli,FERRAIOLI Marzia,Forza Italia,Camera
bennyfiorini,FIORINI Benedetta,Forza Italia,Camera
fucsiaUSA,FITZGERALD NISSOLI Fucsia,Forza Italia,Camera
Greg_Fontana,FONTANA Gregorio,Forza Italia,Camera
,GAGLIARDI Manuela,Forza Italia,Camera
msgelmini,GELMINI Mariastella,Forza Italia,Camera
,GERMANA' Antonino,Forza Italia,Camera
,GIACOMETTO Carlo,Forza Italia,Camera
,GIACOMONI Sestino,Forza Italia,Camera
Vincenza_Lab,LABRIOLA Vincenza,Forza Italia,Camera
mandelli_andrea,MANDELLI Andrea,Forza Italia,Camera
Marin63Marco,MARIN Marco,Coraggio Italia,Camera
MarroccoPatty,MARROCCO Patrizia,Forza Italia,Camera
antoniomartinop,MARTINO Antonio,Forza Italia,Camera
,MAZZETTI Erica,Forza Italia,Camera
LorenaMilanato,MILANATO Lorena,Forza Italia,Camera
NinoMinardo,MINARDO Antonino,Forza Italia,Camera
stefano_mugnai,MUGNAI Stefano,Coraggio Italia,Camera
giorgiomule,MULE' Giorgio,Forza Italia,Camera
,MUSELLA Graziano,Forza Italia,Camera
osvaldo_napoli_,NAPOLI Osvaldo,Forza Italia,Camera
raffaelenevi,NEVI Raffaele,Forza Italia,Camera
novelliroberto,NOVELLI Roberto,Forza Italia,Camera
robertoocchiuto,OCCHIUTO Roberto,Forza Italia,Camera
Andrors,ORSINI Andrea,Forza Italia,Camera
antoniopalmieri,PALMIERI Antonio,Forza Italia,Camera
Pedrazzini_,PEDRAZZINI Claudio,Coraggio Italia,Camera
roberto_pella,PELLA Roberto,Forza Italia,Camera
1374146521,PENTANGELO Antonio,Forza Italia,Camera
,PEREGO DI CREMNAGO Matteo,Forza Italia,Camera
GuidoPettarin,PETTARIN Guido Germano,Coraggio Italia,Camera
PittalisPietro,PITTALIS Pietro,Forza Italia,Camera
CatiaPolidori,POLIDORI Catia,Forza Italia,Camera
renatapolverini,POLVERINI Renata,Forza Italia,Camera
ClaudiaPorchiet,PORCHIETTO Claudia,Forza Italia,Camera
stefprest,PRESTIGIACOMO Stefania,Forza Italia,Camera
lauraravetto,RAVETTO Laura,Forza Italia,Camera
BettaRipani,RIPANI Elisabetta,Coraggio Italia,Camera
AvvRossello,ROSSELLO Cristina,Forza Italia,Camera
,ROSSO Roberto,Forza Italia,Camera
grotondi,ROTONDI Gianfranco,Forza Italia,Camera
DanielaRuffino2,RUFFINO Daniela,Coraggio Italia,Camera
rugge75,RUGGIERI Andrea,Forza Italia,Camera
_PaoloRusso_,RUSSO Paolo,Forza Italia,Camera
,SACCANI JOTTI Gloria M.R.,Forza Italia,Camera
jole_santelli,SANTELLI Jole,Forza Italia,Camera
8.52980514436854E+017,SARRO Carlo,Forza Italia,Camera
elvirasavino,SAVINO Elvira,Forza Italia,Camera
Sandra_Savino,SAVINO Sandra,Forza Italia,Camera
francesco_scoma,SCOMA Francesco,Italia Viva,Camera
VittorioSgarbi,SGARBI Vittorio,Noi con l’Italia,Camera
8.69203195301687E+017,SIBILIA Cosimo,Coraggio Italia,Camera
GiorgioSilli,SILLI Giorgio,Coraggio Italia,Camera
mati_siracusano,SIRACUSANO Matilde,Forza Italia,Camera
,SISTO Francesco Paolo,Forza Italia,Camera
sortealex,SORTE Alessandro,Coraggio Italia,Camera
SozzaniDiego,SOZZANI Diego,Forza Italia,Camera
maria_spena,SPENA Maria,Forza Italia,Camera
LucaSqueri,SQUERI Luca,Forza Italia,Camera
AnnaelsaT,TARTAGLIONE Annaelsa,Forza Italia,Camera
tripodimaria,TRIPODI Maria,Forza Italia,Camera
,VALENTINI Valentino,Forza Italia,Camera
GiusyVersace,VERSACE Giuseppina,Forza Italia,Camera
,VIETINA Simona,Coraggio Italia,Camera
elio_vito,VITO Elio,Forza Italia,Camera
federicazanella,ZANELLA Federica,Forza Italia,Camera
PierantonioZ,ZANETTIN Pierantonio,Forza Italia,Camera
,ZANGRILLO Paolo,Forza Italia,Camera
LAnnibali,ANNIBALI Lucia,Italia Viva,Camera
Michele_Anzaldi,ANZALDI Michele,Italia Viva,Camera
AnnaAscani,ASCANI Anna,PD,Camera
alfredobazoli,BAZOLI Alfredo,PD,Camera
GBenamati,BENAMATI Gianluca,PD,Camera
M_Berlinghieri,BERLINGHIERI Marina,PD,Camera
F_Boccia,BOCCIA Francesco,PD,Camera
FraBonomo,BONOMO Francesca,PD,Camera
bordomichele,BORDO Michele,PD,Camera
EnricoBorghi1,BORGHI Enrico,PD,Camera
meb,BOSCHI Maria Elena,Italia Viva,Camera
bragachiara,BRAGA Chiara,PD,Camera
enzabrunobossio,BRUNO BOSSIO Vincenza,PD,Camera
micaela_campana,CAMPANA Micaela,PD,Camera
CantiniL,CANTINI Laura,PD,Camera
carla_cantone,CANTONE Carla,PD,Camera
,CARDINALE Daniela,CD,Camera
9.58522192857252E+017,CARE' Nicola,PD,Camera
ElenaCarnevali,CARNEVALI Elena,PD,Camera
StefanoCeccanti,CECCANTI Stefano,PD,Camera
susannacenni,CENNI Susanna,PD,Camera
,CIAMPI Lucia,PD,Camera
,COLANINNO Matteo,Italia Viva,Camera
,CRITELLI Francesco,PD,Camera
DalessandroCam,D'ALESSANDRO Camillo,Italia Viva,Camera
,DAL MORO Gian Pietro,PD,Camera
Vito_DeFilippo,DE FILIPPO Vito,PD,Camera
emmedibi,DEL BARBA Mauro,Italia Viva,Camera
,DEL BASSO DE CARO Umberto,PD,Camera
graziano_delrio,DELRIO Graziano,PD,Camera
Piero_De_Luca,DE LUCA Piero,PD,Camera
andreademaria_,DE MARIA Andrea,PD,Camera
RogerDeMenech,DE MENECH Roger,PD,Camera
paola_demicheli,DE MICHELI Paola,PD,Camera
RosaMDiGiorgi,DI GIORGI Rosa Maria,PD,Camera
marcodimaio,DI MAIO Marco,Italia Viva,Camera
DavidErmini1,ERMINI David,PD,Camera
pierofassino,FASSINO Piero,PD,Camera
FerriCosimo,FERRI Cosimo Maria,Italia Viva,Camera
emanuelefiano,FIANO Emanuele,PD,Camera
GianmarioFrago,FRAGOMELI Gian Mario,PD,Camera
dariofrance,FRANCESCHINI Dario,PD,Camera
SilviaFregolent,FREGOLENT Silvia,Italia Viva,Camera
McGadda,GADDA Maria Chiara,Italia Viva,Camera
DavideGariglio,GARIGLIO Davide,PD,Camera
PaoloGentiloni,GENTILONI SILVERI Paolo,PD,Camera
bobogiac,GIACHETTI Roberto,Italia Viva,Camera
Antonellogiac,GIACOMELLI Antonello,PD,Camera
giorgis65,GIORGIS Andrea,PD,Camera
chiaragribaudo,GRIBAUDO Chiara,PD,Camera
guerini_lorenzo,GUERINI Lorenzo,PD,Camera
antoincerti,INCERTI Antonella,PD,Camera
marco_lacarra,LACARRA Marco,PD,Camera
FrancescaLaMar,LA MARCA Francesca,PD,Camera
stefanolepri,LEPRI Stefano,PD,Camera
GFLibrandi,LIBRANDI Gianfranco,Italia Viva,Camera
albertolosacco,LOSACCO Alberto,PD,Camera
LottiLuca,LOTTI Luca,PD,Camera
mariannamadia,MADIA Maria Anna,PD,Camera
GavinoMancaPd,MANCA Gavino,PD,Camera
,MANCINI Claudio,PD,Camera
marattin,MARATTIN Luigi,Italia Viva,Camera
maumartina,MARTINA Maurizio,PD,Camera
mmauripd,MAURI Matteo,PD,Camera
,MELILLI Fabio,PD,Camera
carmelomiceliPD,MICELI Carmelo,PD,Camera
gennaromigliore,MIGLIORE Gennaro,Italia Viva,Camera
,MINNITI Marco,PD,Camera
MorMattia,MOR Mattia,Italia Viva,Camera
AlessiaMorani,MORANI Alessia,PD,Camera
RMorassut,MORASSUT Roberto,PD,Camera
sara_moretto,MORETTO Sara,Italia Viva,Camera
mariomorgoni,MORGONI Mario,PD,Camera
RominaMura,MURA Romina,PD,Camera
martinanardi4,NARDI Martina,PD,Camera
PietroCandidato,NAVARRA Pietro,PD,Camera
lucianonobili,NOBILI Luciano,Italia Viva,Camera
lisanoja,NOJA Lisa,Italia Viva,Camera
orfini,ORFINI Matteo,PD,Camera
AndreaOrlandosp,ORLANDO Andrea,PD,Camera
PCPadoan,PADOAN Pietro Carlo,PD,Camera
,PAGANI Alberto,PD,Camera
ubaldopagano,PAGANO Ubaldo,PD,Camera
raffaellapaita,PAITA Raffaella,Italia Viva,Camera
ConPellicani,PELLICANI Nicola,PD,Camera
stefaniapezzopa,PEZZOPANE Stefania,PD,Camera
FlaviaNardelli1,PICCOLI NARDELLI Flavia,PD,Camera
giuditta_pini,PINI Giuditta,PD,Camera
,PIZZETTI Luciano,PD,Camera
,POLLASTRINI Barbara,PD,Camera
,PORTAS Giacomo,PD,Camera
patriziaprestip,PRESTIPINO Patrizia,PD,Camera
LiaQuartapelle,QUARTAPELLE PROCOPIO Lia,PD,Camera
faustorac,RACITI Fausto,PD,Camera
lucarizzonervo,RIZZO NERVO Luca,PD,Camera
AndreaRomano9,ROMANO Andrea,PD,Camera
Ettore_Rosato,ROSATO Ettore,Italia Viva,Camera
andrearossi76,ROSSI Andrea,PD,Camera
alessiarotta,ROTTA Alessia,PD,Camera
ivanscalfarotto,SCALFAROTTO Ivan,Italia Viva,Camera
angela_schiro,SCHIRO' Angela,PD,Camera
,SENSI Filippo,PD,Camera
serracchiani,SERRACCHIANI Debora,PD,Camera
SianiPaolo,SIANI Paolo,PD,Camera
,TOPO Raffaele,PD,Camera
MassimoUngaro,UNGARO Massimo,Italia Viva,Camera
francovazio,VAZIO Franco,PD,Camera
VeriniWalter,VERINI Walter,PD,Camera
a_viscomi,VISCOMI Antonio,PD,Camera
ZanAlessandro,ZAN Alessandro,PD,Camera
DiegoZardini,ZARDINI Diego,PD,Camera
SilviaPortavoce,BENEDETTI Silvia,Ex M5S,Camera
MarioBorgheseOK,BORGHESE Mario Alejandro,MAIE,Camera
CaiataSalvatore,CAIATA Salvatore,FDI,Camera
andreacecconi84,CECCONI Andrea,Verdi,Camera
antoniotasso,TASSO Antonio,MAIE,Camera
CatelloVitiell1,VITIELLO Catello,Italia Viva,Camera
pbersani,BERSANI Pier Luigi,LEU,Camera
lauraboldrini,BOLDRINI Laura,LEU,Camera
fedeavvconte,CONTE Federico,LEU,Camera
gu_epifani,EPIFANI Ettore Guglielmo,LEU,Camera
StefanoFassina,FASSINA Stefano,LEU,Camera
Fornaro62,FORNARO Federico,LEU,Camera
Nfratoianni,FRATOIANNI Nicola,LEU,Camera
RossellaMuroni,MURONI Rossella,Verdi,Camera
GiusyOcchionero,OCCHIONERO Giuseppina,Italia Viva,Camera
EPalazzotto,PALAZZOTTO Erasmo,LEU,Camera
lucapasto71,PASTORINO Luca,LEU,Camera
MichelaRostan,ROSTAN Michela,Italia Viva,Camera
robersperanza,SPERANZA Roberto,LEU,Camera
,STUMPO Nicola,LEU,Camera
,COLUCCI Ale,MISTO,Camera
Maurizio_Lupi,LUPI Maurizio,Noi con l’Italia,Camera
renzotondo,TONDO Renzo,Noi con l’Italia,Camera
FusacchiA,FUSACCHIA Alessandro,Verdi,Camera
riccardomagi,MAGI Riccardo,Azione-+Europa,Camera
BrunoTabacci,TABACCI Bruno,CD,Camera
,GEBHARD Renate,MISTO,Camera
,PLANGGER Albrecht,MISTO,Camera
,ROSSINI Emanuela,MISTO,Camera
,SCHULLIAN Manfred,MISTO,Camera
,LONGO Fausto,MAIE,Camera
BeaLorenzin,LORENZIN Beatrice,PD,Camera
,SOVERINI Serse,MISTO,Camera
Gtoccafondi,TOCCAFONDI Gabriele,Italia Viva,Camera
,SANGREGORIO Eugenio,MISTO,Camera
