"","created_at","id","id_str","text","full_text","truncated","entities","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","favorited_by","retweeted","scopes","lang","possibly_sensitive","display_text_width","display_text_range","retweeted_status","quoted_status","quoted_status_id","quoted_status_id_str","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","metadata","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
"1","1680076017","1640983870450352128","1640983870450352130","avanti tutta con il nuovo Codice degli Appalti che sblocca cantieri, investimenti e lavoro.
(2/2) https://t.co/Y5GzQNjdl0","avanti tutta con il nuovo Codice degli Appalti che sblocca cantieri, investimenti e lavoro.
(2/2) https://t.co/Y5GzQNjdl0","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1640983863492050944, id_str = ""1640983863492050946"", indices = list(list(start = 98, end = 121)), media_url = ""http://pbs.twimg.com/media/FsXyISmXgAIKym-.jpg"", media_url_https = ""https://pbs.twimg.com/media/FsXyISmXgAIKym-.jpg"", 
    url = ""https://t.co/Y5GzQNjdl0"", display_url = ""pic.twitter.com/Y5GzQNjdl0"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1640983870450352130/photo/1"", type = ""photo"", sizes = list(list(w = c(1440, 680, 150, 1200), h = c(1440, 680, 150, 1200), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1640983860937719808","1640983860937719809","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","9","39","FALSE","NA","FALSE","NA","it","FALSE","NA","97","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1680076015","1640983860937719808","1640983860937719809","🇮🇹 Tempi rapidi, taglio della burocrazia, tutela del made in Italy, fiducia a imprese e sindaci: 
(1/2) https://t.co/XxO8viaAW2","🇮🇹 Tempi rapidi, taglio della burocrazia, tutela del made in Italy, fiducia a imprese e sindaci: 
(1/2) https://t.co/XxO8viaAW2","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1640982421955833856, id_str = ""1640982421955833857"", indices = list(list(start = 104, end = 127)), media_url = ""http://pbs.twimg.com/media/FsXw0YdWcAESxvm.jpg"", media_url_https = ""https://pbs.twimg.com/media/FsXw0YdWcAESxvm.jpg"", 
    url = ""https://t.co/XxO8viaAW2"", display_url = ""pic.twitter.com/XxO8viaAW2"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1640983860937719809/photo/1"", type = ""photo"", sizes = list(list(w = c(1440, 680, 150, 1200), h = c(1440, 680, 150, 1200), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","22","83","FALSE","NA","FALSE","NA","it","FALSE","NA","103","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1680033514","1640805601923026944","1640805601923026975","✅ Dalle parole ai fatti.
Come promesso, APPROVATO in Consiglio dei Ministri il nuovo Codice degli Appalti.
Meno burocrazia, meno perdite di tempo, più fiducia a sindaci e imprese, più cantieri, più lavoro.
Viva l’Italia che corre e investe, viva l’Italia dei SÌ. 🇮🇹 https://t.co/YsuxRJ9sHl","✅ Dalle parole ai fatti.
Come promesso, APPROVATO in Consiglio dei Ministri il nuovo Codice degli Appalti.
Meno burocrazia, meno perdite di tempo, più fiducia a sindaci e imprese, più cantieri, più lavoro.
Viva l’Italia che corre e investe, viva l’Italia dei SÌ. 🇮🇹 https://t.co/YsuxRJ9sHl","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1640805324314628096, id_str = ""1640805324314628109"", indices = list(list(start = 266, end = 289)), media_url = ""http://pbs.twimg.com/ext_tw_video_thumb/1640805324314628109/pu/img/4ugMok-2GcnuUef3.jpg"", 
    media_url_https = ""https://pbs.twimg.com/ext_tw_video_thumb/1640805324314628109/pu/img/4ugMok-2GcnuUef3.jpg"", url = ""https://t.co/YsuxRJ9sHl"", display_url = ""pic.twitter.com/YsuxRJ9sHl"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1640805601923026975/video/1"", type = ""photo"", sizes = list(list(w = c(720, 383, 150, 675), h = c(1280, 680, 150, 1200), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = ""7d588036fe12e124"", url = ""https://api.twitter.com/1.1/geo/id/7d588036fe12e124.json"", place_type = ""city"", name = ""Rome"", full_name = ""Rome, Lazio"", country_code = ""IT"", country = ""Italy"", contained_within = list(list()), attributes = list(), bounding_box = list(list(long = c(12.2344266, 12.8558641, 12.8558641, 12.2344266), lat = c(41.6558738, 41.6558738, 42.140959, 42.140959), type = c(""Polygon"", 
""Polygon"", ""Polygon"", ""Polygon"")))))","NA","FALSE","66","393","FALSE","NA","FALSE","NA","it","FALSE","NA","265","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1680019707","1640747689116663808","1640747689116663810","Auguri Silvio! 💪🏻
https://t.co/XTlpKAkJoE","Auguri Silvio! 💪🏻
https://t.co/XTlpKAkJoE","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = ""https://t.co/XTlpKAkJoE"", expanded_url = ""https://www.corriere.it/politica/23_marzo_28/berlusconi-ricoverato-2a244610-cd76-11ed-ab8e-1e4a885c119f.shtml"", display_url = ""corriere.it/politica/23_ma…"", indices = list(start = 18, end = 41), unwound = NA), media = list(id = NA, id_str = NA, 
    indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","45","521","FALSE","NA","FALSE","NA","es","FALSE","NA","41","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1680008432","1640700397802192896","1640700397802192897","Gli obiettivi restano sempre gli stessi: difesa dell’ambiente, tutela del lavoro, protezione delle imprese. E l’anno prossimo, con il voto, ci saranno nuovo Parlamento e nuova Commissione: la partita non è finita. (3/3)","Gli obiettivi restano sempre gli stessi: difesa dell’ambiente, tutela del lavoro, protezione delle imprese. E l’anno prossimo, con il voto, ci saranno nuovo Parlamento e nuova Commissione: la partita non è finita. (3/3)","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1640700396346720256","1640700396346720261","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","35","216","FALSE","NA","FALSE","NA","it","NA","NA","219","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1680008431","1640700396346720256","1640700396346720261","...dimostrare anche la piena sostenibilità dei biocarburanti. In questo senso va letta la posizione del nostro governo a Bruxelles: non è ancora sufficiente e siamo determinati affinché prevalga la ragionevolezza.
(2/3)","...dimostrare anche la piena sostenibilità dei biocarburanti. In questo senso va letta la posizione del nostro governo a Bruxelles: non è ancora sufficiente e siamo determinati affinché prevalga la ragionevolezza.
(2/3)","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1640700394027319296","1640700394027319296","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","30","188","FALSE","NA","FALSE","NA","it","NA","NA","219","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1680008431","1640700394027319296","1640700394027319296","La fermezza dell’Italia garantisce un’altra possibilità di sopravvivenza ai motori a combustione, anche dopo il 2035.
Ora è necessario più coraggio. 
L’approccio ideologico della Commissione si è limitato ad aprire agli e-fuel, confidiamo che gli esperti sappiano... (1/3) https://t.co/9I1tNpztgZ","La fermezza dell’Italia garantisce un’altra possibilità di sopravvivenza ai motori a combustione, anche dopo il 2035.
Ora è necessario più coraggio. 
L’approccio ideologico della Commissione si è limitato ad aprire agli e-fuel, confidiamo che gli esperti sappiano... (1/3) https://t.co/9I1tNpztgZ","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1640700380144173056, id_str = ""1640700380144173058"", indices = list(list(start = 273, end = 296)), media_url = ""http://pbs.twimg.com/media/FsTwTY1XgAIUXNc.png"", media_url_https = ""https://pbs.twimg.com/media/FsTwTY1XgAIUXNc.png"", 
    url = ""https://t.co/9I1tNpztgZ"", display_url = ""pic.twitter.com/9I1tNpztgZ"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1640700394027319296/photo/1"", type = ""photo"", sizes = list(list(w = c(733, 680, 150, 733), h = c(733, 680, 150, 733), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","110","568","FALSE","NA","FALSE","NA","it","FALSE","NA","272","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1679996313","1640649568478953472","1640649568478953476","Sicurezza sui trasporti, il mio intervento a Roma all’evento promosso dalla Cisl “SonoStatoIo, insieme contro il maltrattamento dei mezzi pubblici”. https://t.co/mYyQXQvLXd","Sicurezza sui trasporti, il mio intervento a Roma all’evento promosso dalla Cisl “SonoStatoIo, insieme contro il maltrattamento dei mezzi pubblici”. https://t.co/mYyQXQvLXd","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = ""https://t.co/mYyQXQvLXd"", expanded_url = ""https://twitter.com/i/broadcasts/1gqxvyYbXVnJB"", display_url = ""twitter.com/i/broadcasts/1…"", indices = list(start = 149, end = 172), unwound = NA), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, 
    display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(long = NA, lat = NA, type = NA), coordinates = list(long = NA, lat = NA, type = NA), place = list(id = NA, url = NA, place_type = NA, name = NA, full_name = NA, country_code = NA, country = NA, contained_within = list(NULL), attributes = list(), bounding_box = list(list(long = NA, lat = NA, type = NA))))","NA","FALSE","33","215","FALSE","NA","FALSE","NA","it","FALSE","NA","172","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1680046768","1640861190799728640","1640861190799728641","RT @GSErinnovabili: @arrigoni_paolo , Presidente #Gse e Valeria Amendola, Direttore generale competitività ed efficienza energetica del @MA…","RT @GSErinnovabili: @arrigoni_paolo , Presidente #Gse e Valeria Amendola, Direttore generale competitività ed efficienza energetica del @MA…","FALSE","list(hashtags = list(text = ""Gse"", indices = list(c(49, 53))), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = c(""GSErinnovabili"", ""arrigoni_paolo""), name = c(""GSE"", ""Paolo Arrigoni""), id = c(454282873, 1075084718), id_str = c(""454282873"", ""1075084718""), indices = list(start = c(3, 20), end = c(18, 35))), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, 
    media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","3","0","FALSE","NA","FALSE","NA","it","NA","NA","140","list(created_at = ""Tue Mar 28 14:22:47 +0000 2023"", id = 1640721096306507776, id_str = ""1640721096306507777"", full_text = ""@arrigoni_paolo , Presidente #Gse e Valeria Amendola, Direttore generale competitività ed efficienza energetica del @MASE_IT  aprono i lavori di #REFUREC #Italy  , network dei regolatori europei sui #biofuels https://t.co/eLq37NeVuX"", truncated = FALSE, display_text_range = list(c(0, 208)), entities = list(hashtags = list(list(text = c(""Gse"", ""REFUREC"", ""Italy"", ""biofuels""), 
    indices = list(c(29, 33), c(145, 153), c(154, 160), c(199, 208)))), symbols = list(list()), user_mentions = list(list(screen_name = c(""arrigoni_paolo"", ""MASE_IT""), name = c(""Paolo Arrigoni"", ""Ministero Ambiente e Sicurezza Energetica""), id = c(1075084718, 481154512), id_str = c(""1075084718"", ""481154512""), indices = list(c(0, 15), c(116, 124)))), urls = list(list()), media = list(list(id = 1640720289347559424, id_str = ""1640720289347559425"", indices = list(c(209, 232)), media_url = ""http://pbs.twimg.com/media/FsUCaQZWYAEm_RA.jpg"", 
    media_url_https = ""https://pbs.twimg.com/media/FsUCaQZWYAEm_RA.jpg"", url = ""https://t.co/eLq37NeVuX"", display_url = ""pic.twitter.com/eLq37NeVuX"", expanded_url = ""https://twitter.com/GSErinnovabili/status/1640721096306507777/photo/1"", type = ""photo"", sizes = list(small = list(w = 472, h = 680, resize = ""fit""), thumb = list(w = 150, h = 150, resize = ""crop""), large = list(w = 1422, h = 2048, resize = ""fit""), medium = list(w = 833, h = 1200, resize = ""fit""))))), extended_entities = list(media = list(
    list(id = c(1640720289347559424, 1640720991276892160), id_str = c(""1640720289347559425"", ""1640720991276892163""), indices = list(c(209, 232), c(209, 232)), media_url = c(""http://pbs.twimg.com/media/FsUCaQZWYAEm_RA.jpg"", ""http://pbs.twimg.com/media/FsUDDHSWAAM_344.jpg""), media_url_https = c(""https://pbs.twimg.com/media/FsUCaQZWYAEm_RA.jpg"", ""https://pbs.twimg.com/media/FsUDDHSWAAM_344.jpg""), url = c(""https://t.co/eLq37NeVuX"", ""https://t.co/eLq37NeVuX""), display_url = c(""pic.twitter.com/eLq37NeVuX"", 
    ""pic.twitter.com/eLq37NeVuX""), expanded_url = c(""https://twitter.com/GSErinnovabili/status/1640721096306507777/photo/1"", ""https://twitter.com/GSErinnovabili/status/1640721096306507777/photo/1""), type = c(""photo"", ""photo""), sizes = list(small = list(w = c(472, 382), h = c(680, 680), resize = c(""fit"", ""fit"")), thumb = list(w = c(150, 150), h = c(150, 150), resize = c(""crop"", ""crop"")), large = list(w = c(1422, 899), h = c(2048, 1599), resize = c(""fit"", ""fit"")), medium = list(w = c(833, 675), h = c(1200, 
    1200), resize = c(""fit"", ""fit"")))))), source = ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", in_reply_to_status_id = NA, in_reply_to_status_id_str = NA, in_reply_to_user_id = 1075084718, in_reply_to_user_id_str = ""1075084718"", in_reply_to_screen_name = ""arrigoni_paolo"", user = list(id = 454282873, id_str = ""454282873"", name = ""GSE"", screen_name = ""GSErinnovabili"", location = ""Roma"", description = ""Il profilo ufficiale del GSE (Gestore dei Servizi Energetici) https://t.co/Y5z21Mq1nM"", 
    url = ""https://t.co/s2fy1AuK1H"", entities = list(url = list(urls = list(list(url = ""https://t.co/s2fy1AuK1H"", expanded_url = ""http://www.gse.it"", display_url = ""gse.it"", indices = list(c(0, 23))))), description = list(urls = list(list(url = ""https://t.co/Y5z21Mq1nM"", expanded_url = ""http://gse.it"", display_url = ""gse.it"", indices = list(c(62, 85)))))), protected = FALSE, followers_count = 14738, friends_count = 540, listed_count = 161, created_at = ""Tue Jan 03 20:43:02 +0000 2012"", favourites_count = 1618, 
    utc_offset = NA, time_zone = NA, geo_enabled = TRUE, verified = TRUE, statuses_count = 16113, lang = NA, contributors_enabled = FALSE, is_translator = FALSE, is_translation_enabled = FALSE, profile_background_color = ""D4EAF5"", profile_background_image_url = ""http://abs.twimg.com/images/themes/theme1/bg.png"", profile_background_image_url_https = ""https://abs.twimg.com/images/themes/theme1/bg.png"", profile_background_tile = FALSE, profile_image_url = ""http://pbs.twimg.com/profile_images/1761141068/w280_logo-gse_normal.jpg"", 
    profile_image_url_https = ""https://pbs.twimg.com/profile_images/1761141068/w280_logo-gse_normal.jpg"", profile_banner_url = ""https://pbs.twimg.com/profile_banners/454282873/1647248165"", profile_link_color = ""088253"", profile_sidebar_border_color = ""C0DEED"", profile_sidebar_fill_color = ""DDEEF6"", profile_text_color = ""333333"", profile_use_background_image = TRUE, has_extended_profile = FALSE, default_profile = FALSE, default_profile_image = FALSE, following = NA, follow_request_sent = NA, notifications = NA, 
    translator_type = ""none"", withheld_in_countries = list(list())), geo = NA, coordinates = NA, place = NA, contributors = NA, is_quote_status = FALSE, retweet_count = 3, favorite_count = 4, favorited = FALSE, retweeted = FALSE, possibly_sensitive = FALSE, lang = ""it"")","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1680046752","1640861123044884480","1640861123044884482","RT @GSErinnovabili: @arrigoni_paolo, Presidente #GSE all'evento di @ICompetitivita  ""Il PNRR alla prova dei territori"". Nell'ultimo anno il…","RT @GSErinnovabili: @arrigoni_paolo, Presidente #GSE all'evento di @ICompetitivita  ""Il PNRR alla prova dei territori"". Nell'ultimo anno il…","FALSE","list(hashtags = list(text = ""GSE"", indices = list(c(48, 52))), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = c(""GSErinnovabili"", ""arrigoni_paolo"", ""ICompetitivita""), name = c(""GSE"", ""Paolo Arrigoni"", ""I-Com""), id = c(454282873, 1075084718, 245420696), id_str = c(""454282873"", ""1075084718"", ""245420696""), indices = list(start = c(3, 20, 67), end = c(18, 35, 82))), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(
    id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","3","0","FALSE","NA","FALSE","NA","it","NA","NA","140","list(created_at = ""Tue Mar 28 10:34:58 +0000 2023"", id = 1640663764893679616, id_str = ""1640663764893679617"", full_text = ""@arrigoni_paolo, Presidente #GSE all'evento di @ICompetitivita  \""Il PNRR alla prova dei territori\"". Nell'ultimo anno il #GSE ha ampliato la sua sfera d'azione. Oltre a #energy e #gas release siamo chiamati a mettere a terra importanti misure del #PNRR. https://t.co/xszbVHLbIt"", truncated = FALSE, display_text_range = list(c(0, 252)), entities = list(hashtags = list(list(text = c(""GSE"", 
""GSE"", ""energy"", ""gas"", ""PNRR""), indices = list(c(28, 32), c(120, 124), c(168, 175), c(178, 182), c(246, 251)))), symbols = list(list()), user_mentions = list(list(screen_name = c(""arrigoni_paolo"", ""ICompetitivita""), name = c(""Paolo Arrigoni"", ""I-Com""), id = c(1075084718, 245420696), id_str = c(""1075084718"", ""245420696""), indices = list(c(0, 15), c(47, 62)))), urls = list(list()), media = list(list(id = 1640661928228814848, id_str = ""1640661928228814849"", indices = list(c(253, 276)), media_url = ""http://pbs.twimg.com/media/FsTNVMSWAAEPjHB.jpg"", 
    media_url_https = ""https://pbs.twimg.com/media/FsTNVMSWAAEPjHB.jpg"", url = ""https://t.co/xszbVHLbIt"", display_url = ""pic.twitter.com/xszbVHLbIt"", expanded_url = ""https://twitter.com/GSErinnovabili/status/1640663764893679617/photo/1"", type = ""photo"", sizes = list(thumb = list(w = 150, h = 150, resize = ""crop""), medium = list(w = 768, h = 1024, resize = ""fit""), small = list(w = 510, h = 680, resize = ""fit""), large = list(w = 768, h = 1024, resize = ""fit""))))), extended_entities = list(media = list(
    list(id = 1640661928228814848, id_str = ""1640661928228814849"", indices = list(c(253, 276)), media_url = ""http://pbs.twimg.com/media/FsTNVMSWAAEPjHB.jpg"", media_url_https = ""https://pbs.twimg.com/media/FsTNVMSWAAEPjHB.jpg"", url = ""https://t.co/xszbVHLbIt"", display_url = ""pic.twitter.com/xszbVHLbIt"", expanded_url = ""https://twitter.com/GSErinnovabili/status/1640663764893679617/photo/1"", type = ""photo"", sizes = list(thumb = list(w = 150, h = 150, resize = ""crop""), medium = list(w = 768, h = 1024, 
        resize = ""fit""), small = list(w = 510, h = 680, resize = ""fit""), large = list(w = 768, h = 1024, resize = ""fit""))))), source = ""<a href=\""https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>"", in_reply_to_status_id = NA, in_reply_to_status_id_str = NA, in_reply_to_user_id = 1075084718, in_reply_to_user_id_str = ""1075084718"", in_reply_to_screen_name = ""arrigoni_paolo"", user = list(id = 454282873, id_str = ""454282873"", name = ""GSE"", screen_name = ""GSErinnovabili"", location = ""Roma"", 
    description = ""Il profilo ufficiale del GSE (Gestore dei Servizi Energetici) https://t.co/Y5z21Mq1nM"", url = ""https://t.co/s2fy1AuK1H"", entities = list(url = list(urls = list(list(url = ""https://t.co/s2fy1AuK1H"", expanded_url = ""http://www.gse.it"", display_url = ""gse.it"", indices = list(c(0, 23))))), description = list(urls = list(list(url = ""https://t.co/Y5z21Mq1nM"", expanded_url = ""http://gse.it"", display_url = ""gse.it"", indices = list(c(62, 85)))))), protected = FALSE, followers_count = 14738, 
    friends_count = 540, listed_count = 161, created_at = ""Tue Jan 03 20:43:02 +0000 2012"", favourites_count = 1618, utc_offset = NA, time_zone = NA, geo_enabled = TRUE, verified = TRUE, statuses_count = 16113, lang = NA, contributors_enabled = FALSE, is_translator = FALSE, is_translation_enabled = FALSE, profile_background_color = ""D4EAF5"", profile_background_image_url = ""http://abs.twimg.com/images/themes/theme1/bg.png"", profile_background_image_url_https = ""https://abs.twimg.com/images/themes/theme1/bg.png"", 
    profile_background_tile = FALSE, profile_image_url = ""http://pbs.twimg.com/profile_images/1761141068/w280_logo-gse_normal.jpg"", profile_image_url_https = ""https://pbs.twimg.com/profile_images/1761141068/w280_logo-gse_normal.jpg"", profile_banner_url = ""https://pbs.twimg.com/profile_banners/454282873/1647248165"", profile_link_color = ""088253"", profile_sidebar_border_color = ""C0DEED"", profile_sidebar_fill_color = ""DDEEF6"", profile_text_color = ""333333"", profile_use_background_image = TRUE, has_extended_profile = FALSE, 
    default_profile = FALSE, default_profile_image = FALSE, following = NA, follow_request_sent = NA, notifications = NA, translator_type = ""none"", withheld_in_countries = list(list())), geo = NA, coordinates = NA, place = NA, contributors = NA, is_quote_status = FALSE, retweet_count = 3, favorite_count = 6, favorited = FALSE, retweeted = FALSE, possibly_sensitive = FALSE, lang = ""it"")","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
