"","created_at","id","id_str","text","full_text","truncated","entities","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","favorited_by","retweeted","scopes","lang","possibly_sensitive","display_text_width","display_text_range","retweeted_status","quoted_status","quoted_status_id","quoted_status_id_str","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","metadata","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
"1","1675940443","1623638015967911936","1623638015967911936","""Il ministero dell'Istruzione e del Merito richiederà all'Avvocatura generale dello Stato di rappresentare nei giudizi civili e penali i lavoratori della scuola"". 
Sono d'accordo. Avanti così, ministro @G_Valditara. https://t.co/mfElg1IQQl","""Il ministero dell'Istruzione e del Merito richiederà all'Avvocatura generale dello Stato di rappresentare nei giudizi civili e penali i lavoratori della scuola"". 
Sono d'accordo. Avanti così, ministro @G_Valditara. https://t.co/mfElg1IQQl","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = ""G_Valditara"", name = ""Giuseppe Valditara"", id = 428515597, id_str = ""428515597"", indices = list(start = 202, end = 214)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623638009747742720, id_str = ""1623638009747742722"", indices = list(list(start = 216, end = 239)), media_url = ""http://pbs.twimg.com/media/FohSKt7WIAIqEFV.jpg"", 
    media_url_https = ""https://pbs.twimg.com/media/FohSKt7WIAIqEFV.jpg"", url = ""https://t.co/mfElg1IQQl"", display_url = ""pic.twitter.com/mfElg1IQQl"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623638015967911936/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(2048, 680, 150, 1200), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","17","90","FALSE","NA","FALSE","NA","it","FALSE","NA","215","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","1675932098","1623603015398686720","1623603015398686721","E il limite di 20 km orari che raggiungono i monopattini a noleggio, dovrà essere il massimo di velocità oltre il quale non si possano più vendere o acquistare.","E il limite di 20 km orari che raggiungono i monopattini a noleggio, dovrà essere il massimo di velocità oltre il quale non si possano più vendere o acquistare.","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1623603009732112384","1623603009732112384","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","6","106","FALSE","NA","FALSE","NA","it","NA","NA","160","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","1675932097","1623603009732112384","1623603009732112384","Sulla tangenziale di Asti, a 100 all’ora, col monopattino.

Educazione, prevenzione, sanzione: siamo già al lavoro per il nuovo Codice della Strada che introdurrà nuove norme e controlli per chi guida i monopattini elettrici. https://t.co/CAVduzekC7","Sulla tangenziale di Asti, a 100 all’ora, col monopattino.

Educazione, prevenzione, sanzione: siamo già al lavoro per il nuovo Codice della Strada che introdurrà nuove norme e controlli per chi guida i monopattini elettrici. https://t.co/CAVduzekC7","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623602921223987200, id_str = ""1623602921223987201"", indices = list(list(start = 226, end = 249)), media_url = ""http://pbs.twimg.com/ext_tw_video_thumb/1623602921223987201/pu/img/O7OewtdY0fVNoYXT.jpg"", 
    media_url_https = ""https://pbs.twimg.com/ext_tw_video_thumb/1623602921223987201/pu/img/O7OewtdY0fVNoYXT.jpg"", url = ""https://t.co/CAVduzekC7"", display_url = ""pic.twitter.com/CAVduzekC7"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623603009732112384/video/1"", type = ""photo"", sizes = list(list(w = c(480, 385, 150, 480), h = c(848, 680, 150, 848), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","21","192","FALSE","NA","FALSE","NA","it","FALSE","NA","225","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4","1675928678","1623588669259976704","1623588669259976709","Penultimo giorno di campagna elettorale in Lombardia e nel Lazio, siete pronti al voto? 
Seguitemi in diretta su Mattino 5. https://t.co/Hm40ucLYKV","Penultimo giorno di campagna elettorale in Lombardia e nel Lazio, siete pronti al voto? 
Seguitemi in diretta su Mattino 5. https://t.co/Hm40ucLYKV","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = ""https://t.co/Hm40ucLYKV"", expanded_url = ""https://twitter.com/i/broadcasts/1DXxyvVzMZdKM"", display_url = ""twitter.com/i/broadcasts/1…"", indices = list(start = 124, end = 147), unwound = NA), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, 
    display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","15","146","FALSE","NA","FALSE","NA","it","FALSE","NA","147","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","1675886811","1623413068977041408","1623413068977041408","Addio Elena, campionessa. https://t.co/nB0rC2c57Q","Addio Elena, campionessa. https://t.co/nB0rC2c57Q","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623413062119133184, id_str = ""1623413062119133185"", indices = list(list(start = 26, end = 49)), media_url = ""http://pbs.twimg.com/media/FoeFlCtXEAEEiYw.jpg"", media_url_https = ""https://pbs.twimg.com/media/FoeFlCtXEAEEiYw.jpg"", 
    url = ""https://t.co/nB0rC2c57Q"", display_url = ""pic.twitter.com/nB0rC2c57Q"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623413068977041408/photo/1"", type = ""photo"", sizes = list(list(w = c(900, 612, 150, 900), h = c(1000, 680, 150, 1000), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","44","625","FALSE","NA","FALSE","NA","it","FALSE","NA","25","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","1675884938","1623405213544763392","1623405213544763392","In diretta su Rete4 a Stasera Italia. 
Domenica e lunedì #iovotolega. https://t.co/s8ONH69IBI","In diretta su Rete4 a Stasera Italia. 
Domenica e lunedì #iovotolega. https://t.co/s8ONH69IBI","FALSE","list(hashtags = list(text = ""iovotolega"", indices = list(c(57, 68))), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = ""https://t.co/s8ONH69IBI"", expanded_url = ""https://twitter.com/i/broadcasts/1ypKddLzgrqKW"", display_url = ""twitter.com/i/broadcasts/1…"", indices = list(start = 70, end = 93), unwound = NA), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, 
    url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","20","147","FALSE","NA","FALSE","NA","it","FALSE","NA","93","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","1675882470","1623394859749892096","1623394859749892100","Tra poco, verso le 20, la mia intervista al #Tg5. Mentre alle 20:25 vi aspetto a #StaseraItalia, su Rete 4. 
Se vi va, potete farmi compagnia. https://t.co/stH5Y492GJ","Tra poco, verso le 20, la mia intervista al #Tg5. Mentre alle 20:25 vi aspetto a #StaseraItalia, su Rete 4. 
Se vi va, potete farmi compagnia. https://t.co/stH5Y492GJ","FALSE","list(hashtags = list(text = c(""Tg5"", ""StaseraItalia""), indices = list(c(44, 48), c(81, 95))), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623394851713687552, id_str = ""1623394851713687552"", indices = list(list(start = 143, end = 166)), media_url = ""http://pbs.twimg.com/media/Fod1BDqXoAAiQyp.jpg"", 
    media_url_https = ""https://pbs.twimg.com/media/Fod1BDqXoAAiQyp.jpg"", url = ""https://t.co/stH5Y492GJ"", display_url = ""pic.twitter.com/stH5Y492GJ"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623394859749892100/photo/1"", type = ""photo"", sizes = list(list(w = c(1536, 554, 150, 978), h = c(1885, 680, 150, 1200), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","13","162","FALSE","NA","FALSE","NA","it","FALSE","NA","142","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","1675874388","1623360959745085440","1623360959745085440","In vista delle Olimpiadi invernali a Milano e Cortina, la Lombardia e l'Italia devono correre per farsi trovare pronte, avanti tutta. #cantiereItalia (3/3)","In vista delle Olimpiadi invernali a Milano e Cortina, la Lombardia e l'Italia devono correre per farsi trovare pronte, avanti tutta. #cantiereItalia (3/3)","FALSE","list(hashtags = list(text = ""cantiereItalia"", indices = list(c(134, 149))), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = NA, id_str = NA, indices = list(NA), media_url = NA, media_url_https = NA, url = NA, display_url = NA, expanded_url = NA, type = NA, sizes = list(NA), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1623360754530324480","1623360754530324490","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","11","86","FALSE","NA","FALSE","NA","it","NA","NA","155","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","1675874339","1623360754530324480","1623360754530324490","…delle fermate  ""Piazza Tricolore"" e ""Piazza San Babila"", quest'ultima sarà il punto di interscambio con la linea rossa.
I fondi investiti nell'opera sono ben impiegati e conto di tornare entro l'estate per avviare il collegamento. (2/3) https://t.co/cMvvvt4sJb","…delle fermate  ""Piazza Tricolore"" e ""Piazza San Babila"", quest'ultima sarà il punto di interscambio con la linea rossa.
I fondi investiti nell'opera sono ben impiegati e conto di tornare entro l'estate per avviare il collegamento. (2/3) https://t.co/cMvvvt4sJb","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623360748201168896, id_str = ""1623360748201168897"", indices = list(list(start = 238, end = 261)), media_url = ""http://pbs.twimg.com/media/FodV_-LX0AEX2Aq.jpg"", media_url_https = ""https://pbs.twimg.com/media/FodV_-LX0AEX2Aq.jpg"", 
    url = ""https://t.co/cMvvvt4sJb"", display_url = ""pic.twitter.com/cMvvvt4sJb"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623360754530324490/photo/1"", type = ""photo"", sizes = list(list(w = c(857, 680, 150, 857), h = c(574, 455, 150, 574), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1623360291068166144","1623360291068166145","270839361","270839361","matteosalvinimi","list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","14","92","FALSE","NA","FALSE","NA","it","FALSE","NA","237","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","1675874228","1623360291068166144","1623360291068166145","Nel mio primo mese da ministro ho partecipato all'inaugurazione del prolungamento della linea blu (M4) della metropolitana di Milano fino all'aeroporto di Linate (che ha registrato un'ottima affluenza nei primi mesi) e oggi ho visitato il cantiere… (1/3) https://t.co/pUjCk877iC","Nel mio primo mese da ministro ho partecipato all'inaugurazione del prolungamento della linea blu (M4) della metropolitana di Milano fino all'aeroporto di Linate (che ha registrato un'ottima affluenza nei primi mesi) e oggi ho visitato il cantiere… (1/3) https://t.co/pUjCk877iC","FALSE","list(hashtags = list(text = NA, indices = list(NA)), symbols = list(text = NA, indices = list(NA)), user_mentions = list(screen_name = NA, name = NA, id = NA, id_str = NA, indices = list(NA)), urls = list(url = NA, expanded_url = NA, display_url = NA, indices = list(NA), unwound = list(NA)), media = list(id = 1623360284151758848, id_str = ""1623360284151758851"", indices = list(list(start = 255, end = 278)), media_url = ""http://pbs.twimg.com/media/FodVk9dXwAMYlgx.jpg"", media_url_https = ""https://pbs.twimg.com/media/FodVk9dXwAMYlgx.jpg"", 
    url = ""https://t.co/pUjCk877iC"", display_url = ""pic.twitter.com/pUjCk877iC"", expanded_url = ""https://twitter.com/matteosalvinimi/status/1623360291068166145/photo/1"", type = ""photo"", sizes = list(list(w = c(1065, 680, 150, 1065), h = c(710, 453, 150, 710), resize = c(""fit"", ""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA))","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NA",NA,"NA",NA,NA,"list()","list(long = NA, lat = NA, type = NA)","list(geo = list(list(long = NA, lat = NA, type = NA)), coordinates = list(list(long = NA, lat = NA, type = NA)), place = list(NA))","NA","FALSE","20","179","FALSE","NA","FALSE","NA","it","FALSE","NA","254","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
