Nome,Twitter,Partito,Tipo
DE MICHELI Paola,paola_demicheli,PD,Camera
DI GIORGI Rosa Maria,RosaMDiGiorgi,PD,Camera
DI MAIO Marco,marcodimaio,Italia Viva,Camera
ERMINI David,DavidErmini1,PD,Camera
FASSINO Piero,pierofassino,PD,Camera
FERRI Cosimo Maria,FerriCosimo,Italia Viva,Camera
FIANO Emanuele,emanuelefiano,PD,Camera
FRAGOMELI Gian Mario,GianmarioFrago,PD,Camera
FRANCESCHINI Dario,dariofrance,PD,Camera
FREGOLENT Silvia,SilviaFregolent,Italia Viva,Camera
GADDA Maria Chiara,McGadda,Italia Viva,Camera
GARIGLIO Davide,DavideGariglio,PD,Camera
GENTILONI SILVERI Paolo,PaoloGentiloni,PD,Camera
GIACHETTI Roberto,bobogiac,Italia Viva,Camera
GIACOMELLI Antonello,Antonellogiac,PD,Camera
GIORGIS Andrea,giorgis65,PD,Camera
GRIBAUDO Chiara,chiaragribaudo,PD,Camera
GUERINI Lorenzo,guerini_lorenzo,PD,Camera
INCERTI Antonella,antoincerti,PD,Camera
LACARRA Marco,marco_lacarra,PD,Camera
LA MARCA Francesca,FrancescaLaMar,PD,Camera
LEPRI Stefano,stefanolepri,PD,Camera
LIBRANDI Gianfranco,GFLibrandi,Italia Viva,Camera
LOSACCO Alberto,albertolosacco,PD,Camera
LOTTI Luca,LottiLuca,PD,Camera
MADIA Maria Anna,mariannamadia,PD,Camera
MANCA Gavino,GavinoMancaPd,PD,Camera
MANCINI Claudio,\N,PD,Camera
MARATTIN Luigi,marattin,Italia Viva,Camera
MARTINA Maurizio,maumartina,PD,Camera
MAURI Matteo,mmauripd,PD,Camera
MELILLI Fabio,\N,PD,Camera
MICELI Carmelo,carmelomiceliPD,PD,Camera
MIGLIORE Gennaro,gennaromigliore,Italia Viva,Camera
MINNITI Marco,\N,PD,Camera
MOR Mattia,MorMattia,Italia Viva,Camera
MORANI Alessia,AlessiaMorani,PD,Camera
MORASSUT Roberto,RMorassut,PD,Camera
MORETTO Sara,sara_moretto,Italia Viva,Camera
MORGONI Mario,mariomorgoni,PD,Camera
MURA Romina,RominaMura,PD,Camera
NARDI Martina,martinanardi4,PD,Camera
NAVARRA Pietro,PietroCandidato,PD,Camera
NOBILI Luciano,lucianonobili,Italia Viva,Camera
NOJA Lisa,lisanoja,Italia Viva,Camera
ORFINI Matteo,orfini,PD,Camera
ORLANDO Andrea,AndreaOrlandosp,PD,Camera
PADOAN Pietro Carlo,PCPadoan,PD,Camera
PAGANI Alberto,\N,PD,Camera
PAGANO Ubaldo,ubaldopagano,PD,Camera
PAITA Raffaella,raffaellapaita,Italia Viva,Camera
PELLICANI Nicola,ConPellicani,PD,Camera
PEZZOPANE Stefania,stefaniapezzopa,PD,Camera
PICCOLI NARDELLI Flavia,FlaviaNardelli1,PD,Camera
PINI Giuditta,giuditta_pini,PD,Camera
PIZZETTI Luciano,\N,PD,Camera
POLLASTRINI Barbara,\N,PD,Camera
PORTAS Giacomo,\N,PD,Camera
PRESTIPINO Patrizia,patriziaprestip,PD,Camera
QUARTAPELLE PROCOPIO Lia,LiaQuartapelle,PD,Camera
RACITI Fausto,faustorac,PD,Camera
RIZZO NERVO Luca,lucarizzonervo,PD,Camera
ROMANO Andrea,AndreaRomano9,PD,Camera
ROSATO Ettore,Ettore_Rosato,Italia Viva,Camera
ROSSI Andrea,andrearossi76,PD,Camera
ROTTA Alessia,alessiarotta,PD,Camera
SCALFAROTTO Ivan,ivanscalfarotto,Italia Viva,Camera
SCHIRO' Angela,angela_schiro,PD,Camera
SENSI Filippo,\N,PD,Camera
SERRACCHIANI Debora,serracchiani,PD,Camera
SIANI Paolo,SianiPaolo,PD,Camera
TOPO Raffaele,\N,PD,Camera
UNGARO Massimo,MassimoUngaro,Italia Viva,Camera
VAZIO Franco,francovazio,PD,Camera
VERINI Walter,VeriniWalter,PD,Camera
VISCOMI Antonio,a_viscomi,PD,Camera
ZAN Alessandro,ZanAlessandro,PD,Camera
ZARDINI Diego,DiegoZardini,PD,Camera
BENEDETTI Silvia,SilviaPortavoce,Ex M5S,Camera
BORGHESE Mario Alejandro,MarioBorgheseOK,MAIE,Camera
CAIATA Salvatore,CaiataSalvatore,FDI,Camera
CECCONI Andrea,andreacecconi84,Verdi,Camera
TASSO Antonio,antoniotasso,MAIE,Camera
VITIELLO Catello,CatelloVitiell1,Italia Viva,Camera
BERSANI Pier Luigi,pbersani,LEU,Camera
BOLDRINI Laura,lauraboldrini,LEU,Camera
CONTE Federico,fedeavvconte,LEU,Camera
EPIFANI Ettore Guglielmo,gu_epifani,LEU,Camera
FASSINA Stefano,StefanoFassina,LEU,Camera
FORNARO Federico,Fornaro62,LEU,Camera
FRATOIANNI Nicola,Nfratoianni,LEU,Camera
MURONI Rossella,RossellaMuroni,Verdi,Camera
OCCHIONERO Giuseppina,GiusyOcchionero,Italia Viva,Camera
PALAZZOTTO Erasmo,EPalazzotto,LEU,Camera
PASTORINO Luca,lucapasto71,LEU,Camera
ROSTAN Michela,MichelaRostan,Italia Viva,Camera
SPERANZA Roberto,robersperanza,LEU,Camera
STUMPO Nicola,\N,LEU,Camera
COLUCCI Ale,\N,MISTO; +EUROPA-CENTRO DEMOCRATICO,Camera
LUPI Maurizio,Maurizio_Lupi,Noi con l’Italia,Camera
TONDO Renzo,renzotondo,Noi con l’Italia,Camera
FUSACCHIA Alessandro,FusacchiA,Verdi,Camera
MAGI Riccardo,riccardomagi,Azione/+Europa,Camera
TABACCI Bruno,BrunoTabacci,CD,Camera
GEBHARD Renate,\N,MISTO; MINORANZE LINGUISTICHE,Camera
PLANGGER Albrecht,\N,MISTO; MINORANZE LINGUISTICHE,Camera
ROSSINI Emanuela,\N,MISTO; MINORANZE LINGUISTICHE,Camera
SCHULLIAN Manfred,\N,MISTO; MINORANZE LINGUISTICHE,Camera
LONGO Fausto,\N,MAIE,Camera
LORENZIN Beatrice,BeaLorenzin,PD,Camera
SOVERINI Serse,\N,MISTO; CIVICA POPOLARE-AP-PSI-AREA CIVICA,Camera
TOCCAFONDI Gabriele,Gtoccafondi,Italia Viva,Camera
SANGREGORIO Eugenio,\N,MISTO; non iscritto ad alcuna componente politica,Camera
