Nome,Twitter,Partito,Tipo
FARO Marialuisa,MarialuisaFaro,M5S,Camera
FEDERICO Antonio,\N,M5S,Camera
FERRARESI Vittorio,Ferraresi_V,M5S,Camera
FICARA Paolo,\N,M5S,Camera
FICO Roberto,Roberto_Fico,M5S,Camera
FIORAMONTI Lorenzo,lofioramonti,Verdi,Camera
FLATI Francesca,9.73305100612534E+017,M5S,Camera
FONTANA Ilaria,ilariafontana5s,M5S,Camera
FORCINITI Francesco,Fraforciniti,Ex M5S,Camera
FRACCARO Riccardo,riccardo_fra,M5S,Camera
FRATE Flora,FloraFrate,Azione/+Europa,Camera
FRUSONE Luca,lucafrusone,M5S,Camera
GAGNARLI Chiara,chiara_201181,M5S,Camera
GALANTINO Davide,davidegalantino,M5S,Camera
GALIZIA Francesca,9.93197078313603E+017,M5S,Camera
GALLINELLA Filippo,Gallinella_F,M5S,Camera
GALLO Luigi,LuigiGallo15,M5S,Camera
GIANNONE Veronica,\N,M5S,Camera
GIARRIZZO Andrea,\N,M5S,Camera
GIORDANO Conny,ConnyGiordano_5,M5S,Camera
GIULIANO Carla,\N,M5S,Camera
GIULIODORI Paolo,PaoloGiuliodori,Ex M5S,Camera
GRANDE Marta,MartaGrande87,M5S,Camera
GRILLO Giulia,GiuliaGrilloM5S,M5S,Camera
GRIMALDI Nicola,GrimaldM5s,M5S,Camera
GRIPPA Carmela,MELINDAGRIPPA,M5S,Camera
GUBITOSA Michele,\N,M5S,Camera
IANARO Angela,\N,M5S,Camera
INVIDIA Niccolo',\N,M5S,Camera
IORIO Marianna,\N,M5S,Camera
IOVINO Luigi,IovinoLuigiM5S,M5S,Camera
L'ABBATE Giuseppe,baffone5stelle,M5S,Camera
LAPIA Mara,LapiaMara,CD,Camera
LATTANZIO Paolo,\N,M5S,Camera
LICATINI Caterina,CLicatini,M5S,Camera
LIUZZI Mirella,mirellaliuzzi,M5S,Camera
LOMBARDO Antonio,\N,Verdi,Camera
LOREFICE Marialucia,Mlucialorefice,M5S,Camera
LORENZONI Gabriele,lorenzoni_m5s,M5S,Camera
LOVECCHIO Giorgio,Giorgiolovecc,M5S,Camera
MACINA Anna,AnnaMacina73,M5S,Camera
MAGLIONE Pasquale,maglione5stelle,M5S,Camera
MAMMI' Stefania,\N,M5S,Camera
MANCA Alberto,\N,M5S,Camera
MANIERO Alvise,\N,M5S,Camera
MANZO Teresa,terry_manzo,M5S,Camera
