Twitter,Nome,Partito,Tipo
LaPietraSenato,Patrizio La Pietra,FDI,Senato
Ignazio_LaRussa,Ignazio La Russa,FDI,Senato
Maurolaus,Mauro Laus,PD,Senato
LeoneM5s,Cinzia Leone,M5S,Senato
LomutiArnaldo,Arnaldo Lomuti,M5S,Senato
sfnlcd,Stefano Lucidi,Lega,Senato
GiuliaLupo2,Giulia Lupo,M5S,Senato
MaiorinoM5S,Alessandra Maiorino,M5S,Senato
LucioMalan,Lucio Malan,Forza Italia,Senato
MassimoMallegni,Massimo Mallegni ,Forza Italia,Senato
SimonaMalpezzi,Simona Malpezzi,PD,Senato
mancaimola,Daniele Manca,PD,Senato
ManteroM5S,Matteo Mantero,M5S,Senato
mantolalla,Maria Laura Mantovani,M5S,Senato
AndreaMarcucci,Andrea Marcucci,PD,Senato
s_margiotta,Salvatore Margiotta,PD,Senato
raffaella_marin,Raffaella Marin,Lega,Senato
mauro_m_marino,Mauro Maria Marino,Italia Viva,Senato
marcomarsilio,Marco Marsilio,FDI,Senato
RobertoMarti74,Roberto Marti,Lega,Senato
BarbaraMasini_,Barbara Masini,Forza Italia,Senato
MatriscianoSusy,Susy Matrisciano,M5S,Senato
RicardoMerlo5,Ricardo Merlo,MAIE,Senato
FraMirabelli,Franco Mirabelli,PD,Senato
antoniomisiani,Antonio Misiani,PD,Senato
FiammettaModena,Fiammetta Modena,Lega,Senato
giusmoles,Giuseppe Moles,Forza Italia,Senato
FMollame,Francesco Mollame,M5S,Senato
m_montevecchi,Michela Montevecchi,M5S,Senato
SenatoreMonti,Mario Monti,Senatore a vita,Senato
vilmamoronese,Vilma Moronese,M5S,Senato
NicolaMorra63,Nicola Morra,M5S,Senato
TNannicini,Tommaso Nannicini,PD,Senato
GisellaNaturale,Gisella Naturale,M5S,Senato
NenciniPsi,Riccardo Nencini,Italia Viva,Senato
SimonaNocerino_,Simona Nocerino,Ex M5S,Senato
paolanugnes,Paola Nugnes,LEU,Senato
fabrizioortis,Fabrizio Ortis,Ex M5S,Senato
AndreaOstellari,Andrea Ostellari,Lega,Senato
mrnllpacifico,Pacifico Marinella,Ex M5S,Senato
NazarioPagano,Nazario Pagano,Forza Italia,Senato
uraniapapatheu,Urania Giulia Papatheu,Forza Italia,Senato
gparagone,Gianluigi Paragone,Ex M5S,Senato
Am_Parente,Annamaria Parente,Italia Viva,Senato
paroli_adriano,Adriano Paroli,Forza Italia,Senato
DarioParrini,Dario Parrini,PD,Senato
Spatuanelli,Stefano Patuanelli,M5S,Senato
EmmaPavanelli,Emma Pavanelli,M5S,Senato
giulipaz68,Giuliano Pazzaglini,Lega,Senato
PELLEGRINIEMA,Emanuele Pellegrini,Lega,Senato
MPellegrini_m5s,Marco Pellegrini,M5S,Senato
PepePasquale1,Pasquale Pepe,Lega,Senato
simonapergreffi,Simona Pergreffi,Lega,Senato
PerilliM5Senato,Gianluca Perilli,M5S,Senato
marco_perosino ,Marco Perosino,Forza Italia,Senato
DanielePesco,Daniele Pesco,M5S,Senato
vitopetrocelli,Vito Petrocelli,M5S,Senato
Gpichetto,Gilberto Pichetto,Forza Italia,Senato
SimoPillon,Simone Pillon,Lega,Senato
robertapinotti,Roberta Pinotti,PD,Senato
DaisyPirovano,Daisy Pirovano,Lega,Senato
pirroelisa,Elisa Pirro,M5S,Senato
giannipittella,Gianni Pittella,PD,Senato
mariopittoni,Mario Pittoni,Lega,Senato
nadiapizzol,Nadia Pizzol,Lega,Senato
enzopresutto_,Vincenzo Presutto,M5S,Senato
PucciarelliLega,Stefania Pucciarelli,M5S,Senato
sergiopuglia,Sergio Puglia,M5S,Senato
QuagliarielloG,Gaetano Quagliarello,Coraggio Italia,Senato
rampi,Roberto Rampi,PD,Senato
IsabellaRauti,Isabella Rauti,FDI,Senato
matteorenzi,Matteo Renzi,Italia Viva,Senato
ariccardi9,Alessandra Riccardi,Lega,Senato
MatteoRichetti,Matteo Richetti ,Azione-+Europa  ,Senato
Ripamonti_Lega,Paolo Ripamonti,Lega,Senato
erica_rivolta,Erica Rivolta,Lega,Senato
Maria_Rizzotti,Maria Rizzotti,Forza Italia,Senato
tatjana_rojc,Tatjana Rojc,PD,Senato
Sergione69,Sergio Romagnoli,M5S,Senato
_paolo_romani_,Paolo Romani,Coraggio Italia,Senato
iunioromano,Iunio Valerio Romano,M5S,Senato
maxromeoMB,Massimiliano Romeo,Lega,Senato
LiciaRonzulli,Licia Ronzulli,Forza Italia,Senato
RossomandoPd,Anna Rossomando,PD,Senato
GianfrancoRufa,Gianfranco Rufa,Lega,Senato
sruotolo1,Salvatore Margiotta,LEU,Senato
mruspandini,Massimo Ruspandini,FDI,Senato
AntoSaccone,Antonio Saccone,UDC,Senato
mausantangelo,Vincenzo Santangelo,M5S,Senato
Ago_SantilloM5S,Agostino Santillo,M5S,Senato
PaoloSaviane,Paolo Saviane,Lega,Senato
DaniSbrollini,Daniela Sbrollini,Italia Viva,Senato
RenatoSchifani,Renato Schifani,Forza Italia,Senato
marcosiclari,Marco Siclari,Forza Italia,Senato
piersileri,Pierpaolo Sileri,M5S,Senato
armandosiri,Armando Siri,Lega,Senato
laurastabile57,Laura Stabile,Forza Italia,Senato
erikastefani71,Erika Stefani,Lega,Senato
DarioStefano,Dario Stefano,PD,Senato
DieterSteger,Dieter Steger,SVP,Senato
SudanoValeria,Valeria Sudano,Italia Viva,Senato
MinoTaricco,Mino Taricco,PD,Senato
PaolaTavernaM5S,Paola Taverna,M5S,Senato
TestorElena,Elena Testor,Lega,Senato
VirginiaTirabo1,Virginia Tiraboschi,Forza Italia,Senato
ToffaninRoberta,Roberta Toffanin,Forza Italia,Senato
DaniloToninelli,Danilo Toninelli,M5S,Senato
PaoloTosato3,Paolo Tosato,Lega,Senato
TotaroAchille,Achille Totaro,FDI,Senato
TrentacosteM5S,Fabrizio Trentacoste,M5S,Senato
avvocato_urraro,Francesco Urraro,Lega,Senato
adolfo_urso,Adolfo Urso,FDI,Senato
Sergio_Vaccaro1,Sergio Vaccaro,M5S,Senato
ValeriaValente_,Valeria Valente,PD,Senato
Vallardigian,Gianpaolo Vallardi,Lega,Senato
OriettaVanin,Orietta Vanin,M5S,Senato
vvattuone,Vito Vattuone,PD,Senato
cescverducci,Francesco Verducci,PD,Senato
senatorevescovi,Manuel Vescovi,Lega,Senato
FrancoZaffini,Franco Zaffini,FDI,Senato
SheriffZuliani,Cristiano Zuliani,Lega,Senato
